"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: kind","Param: offset","Param: size"
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,725.868696,NaN,"ns/op",hashset,1.0,100
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,10329.461030,NaN,"ns/op",hashset,1.0,1000
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,186818.561619,NaN,"ns/op",hashset,1.0,10000
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,1867791.475933,NaN,"ns/op",hashset,1.0,100000
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,21.705025,NaN,"ns/op",sortedset,0.0,1
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,79.846091,NaN,"ns/op",sortedset,0.0,10
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,438.053978,NaN,"ns/op",sortedset,0.0,100
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,5125.652219,NaN,"ns/op",sortedset,0.0,1000
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,79860.107355,NaN,"ns/op",sortedset,0.0,10000
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,443390.573331,NaN,"ns/op",sortedset,0.0,100000
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,17.229021,NaN,"ns/op",sortedset,0.5,1
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,306.519571,NaN,"ns/op",sortedset,0.5,10
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,5620.420964,NaN,"ns/op",sortedset,0.5,100
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,96633.334903,NaN,"ns/op",sortedset,0.5,1000
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,1501680.355637,NaN,"ns/op",sortedset,0.5,10000
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,16845982.863636,NaN,"ns/op",sortedset,0.5,100000
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,24.758670,NaN,"ns/op",sortedset,1.0,1
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,629.240995,NaN,"ns/op",sortedset,1.0,10
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,10931.709525,NaN,"ns/op",sortedset,1.0,100
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,202151.347810,NaN,"ns/op",sortedset,1.0,1000
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,2930050.179361,NaN,"ns/op",sortedset,1.0,10000
"com.rklaehn.abc.SetCreateAccessBench.filter","avgt",1,2,36104555.376364,NaN,"ns/op",sortedset,1.0,100000
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,52.640491,NaN,"ns/op",arrayset,0.0,1
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,250.754186,NaN,"ns/op",arrayset,0.0,10
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,2267.981355,NaN,"ns/op",arrayset,0.0,100
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,22184.136956,NaN,"ns/op",arrayset,0.0,1000
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,234067.978828,NaN,"ns/op",arrayset,0.0,10000
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,2928094.426238,NaN,"ns/op",arrayset,0.0,100000
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,51.506694,NaN,"ns/op",arrayset,0.5,1
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,146.165257,NaN,"ns/op",arrayset,0.5,10
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,1285.882119,NaN,"ns/op",arrayset,0.5,100
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,11415.975342,NaN,"ns/op",arrayset,0.5,1000
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,118699.352943,NaN,"ns/op",arrayset,0.5,10000
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,1351660.002619,NaN,"ns/op",arrayset,0.5,100000
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,65.466639,NaN,"ns/op",arrayset,1.0,1
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,102.086493,NaN,"ns/op",arrayset,1.0,10
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,173.244522,NaN,"ns/op",arrayset,1.0,100
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,649.554222,NaN,"ns/op",arrayset,1.0,1000
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,2664.083651,NaN,"ns/op",arrayset,1.0,10000
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,23856.963313,NaN,"ns/op",arrayset,1.0,100000
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,4.000166,NaN,"ns/op",hashset,0.0,1
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,106.889556,NaN,"ns/op",hashset,0.0,10
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,1904.830201,NaN,"ns/op",hashset,0.0,100
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,20399.724612,NaN,"ns/op",hashset,0.0,1000
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,387609.326678,NaN,"ns/op",hashset,0.0,10000
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,9282279.796296,NaN,"ns/op",hashset,0.0,100000
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,4.324205,NaN,"ns/op",hashset,0.5,1
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,124.692132,NaN,"ns/op",hashset,0.5,10
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,1696.028599,NaN,"ns/op",hashset,0.5,100
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,15899.501265,NaN,"ns/op",hashset,0.5,1000
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,266652.292706,NaN,"ns/op",hashset,0.5,10000
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,4638508.655093,NaN,"ns/op",hashset,0.5,100000
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,3.671321,NaN,"ns/op",hashset,1.0,1
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,24.704838,NaN,"ns/op",hashset,1.0,10
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,638.897025,NaN,"ns/op",hashset,1.0,100
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,7639.258651,NaN,"ns/op",hashset,1.0,1000
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,156610.105555,NaN,"ns/op",hashset,1.0,10000
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,2390926.599240,NaN,"ns/op",hashset,1.0,100000
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,46.764220,NaN,"ns/op",sortedset,0.0,1
"com.rklaehn.abc.SetCreateAccessBench.intersect","avgt",1,2,691.503795,NaN,"ns/op",sortedset,0.0,10
